Bank / Company,Age Group,Min. Investment,Duration,Risk,Exp. Return,Investment Type,Sector/Industry,Min. Income
DSP Savings,25-70,₹500,1-3 Years,Moderate,11.2%,Hybrid,Balanced Debt/Equity,₹3L+
Tata Liquid,18-80,"₹1,000",1-3 Months,Low,6.4%,Debt (Liquid),"T-Bills, Repo",Any
DSP Small Cap,25-55,₹500,5+ Yrs,Very High,19%,Large Cap,Consumer Goods,₹4L+
Aditya Birla Mid Cap,25-55,₹500,5+ Yrs,Very High,19%,Flexi Cap,Digital Services,₹4L+
Axis Large Cap,25-55,₹500,5+ Yrs,Very High,20%,Small Cap,Digital Services,₹4L+
HDFC Savings,25-70,₹500,1-3 Years,Moderate,9.7%,Hybrid,Balanced Debt/Equity,₹3L+
Kotak Liquid,18-80,"₹1,000",1-3 Months,Low,7.5%,Debt (Liquid),"T-Bills, Repo",Any
Nippon Liquid,18-80,"₹1,000",1-3 Months,Low,6.5%,Debt (Liquid),"T-Bills, Repo",Any
Tata Liquid,18-80,"₹1,000",1-3 Months,Low,6.2%,Debt (Liquid),"T-Bills, Repo",Any
Invesco Savings,25-70,₹500,1-3 Years,Moderate,11.1%,Hybrid,Balanced Debt/Equity,₹3L+
SBI Small Cap,25-55,₹500,5+ Yrs,Very High,18%,Large Cap,Infrastructure,₹4L+
Axis Liquid,18-80,"₹1,000",1-3 Months,Low,6.1%,Debt (Liquid),"T-Bills, Repo",Any
ICICI Liquid,18-80,"₹1,000",1-3 Months,Low,7.0%,Debt (Liquid),"T-Bills, Repo",Any
IDFC Multi Cap,25-55,₹500,5+ Yrs,Very High,14%,Flexi Cap,Digital Services,₹4L+
SBI Large Cap,25-55,₹500,5+ Yrs,Very High,20%,Small Cap,Automobile,₹4L+
HDFC Liquid,18-80,"₹1,000",1-3 Months,Low,7.0%,Debt (Liquid),"T-Bills, Repo",Any
ICICI Multi Cap,25-55,₹500,5+ Yrs,Very High,18%,Multi Cap,"BFSI, IT",₹4L+
Tata Multi Cap,25-55,₹500,5+ Yrs,Very High,19%,Flexi Cap,Automobile,₹4L+
Axis Savings,25-70,₹500,1-3 Years,Moderate,9.8%,Hybrid,Balanced Debt/Equity,₹3L+
Axis Liquid,18-80,"₹1,000",1-3 Months,Low,6.2%,Debt (Liquid),"T-Bills, Repo",Any
Mirae Savings,25-70,₹500,1-3 Years,Moderate,10.6%,Hybrid,Balanced Debt/Equity,₹3L+
Quant Liquid,18-80,"₹1,000",1-3 Months,Low,6.7%,Debt (Liquid),"T-Bills, Repo",Any
Tata Multi Cap,25-55,₹500,5+ Yrs,Very High,15%,Small Cap,Digital Services,₹4L+
Aditya Birla Mid Cap,25-55,₹500,5+ Yrs,Very High,19%,Large Cap,Automobile,₹4L+
Tata Liquid,18-80,"₹1,000",1-3 Months,Low,6.4%,Debt (Liquid),"T-Bills, Repo",Any
Quant Savings,25-70,₹500,1-3 Years,Moderate,9.1%,Hybrid,Balanced Debt/Equity,₹3L+
Nippon Savings,25-70,₹500,1-3 Years,Moderate,8.5%,Hybrid,Balanced Debt/Equity,₹3L+
IDFC Liquid,18-80,"₹1,000",1-3 Months,Low,6.8%,Debt (Liquid),"T-Bills, Repo",Any
Canara Liquid,18-80,"₹1,000",1-3 Months,Low,6.9%,Debt (Liquid),"T-Bills, Repo",Any
Aditya Birla Liquid,18-80,"₹1,000",1-3 Months,Low,7.1%,Debt (Liquid),"T-Bills, Repo",Any
Nippon Savings,25-70,₹500,1-3 Years,Moderate,11.0%,Hybrid,Balanced Debt/Equity,₹3L+
Kotak Flexi Cap,25-55,₹500,5+ Yrs,Very High,18%,Mid Cap,Energy & Oil,₹4L+
IDFC Liquid,18-80,"₹1,000",1-3 Months,Low,6.4%,Debt (Liquid),"T-Bills, Repo",Any
